,lat,long,name,rating
0,43.7751785,-79.4940601,The Islands Caribbean Restaurant,4.4
1,43.7818596,-79.4917008,Genji Sushi,4.6
2,43.7819148,-79.4914024,Sandra’s Italian Kitchen,4.7
3,43.7741629,-79.5022522,Shopsy's Sports Grill .,3.9
4,43.7738555,-79.4920539,Bamiyan Kabob,4.3
5,43.7730345,-79.498331,Schulich Executive Dining Room,4.3
6,43.782365,-79.489289,Caspi Restaurant,4.8
7,43.7738455,-79.503118,Underground,3.4
8,43.7738289,-79.4920948,Osmow's @ Keele,4.2
9,43.76987,-79.502041,Basil Box,4.1
10,43.7743203,-79.5020616,La Prep,3.8
11,43.7740219,-79.5028783,Jimmy the Greek,4.1
12,43.7740864,-79.5026567,Pagoda Tree,1.7
13,43.7729717,-79.5048328,Central Square Cafeteria,3.5
14,43.7681272,-79.4759161,Dumpling King restaurant,4.3
15,43.7695944,-79.5018918,San Francesco Foods,4
16,43.7609475,-79.4896808,Tender Shawarma & Grill,4.3
17,43.7655077,-79.489485,J's Bar and Restaurant,4.3
18,43.7701903,-79.5006502,Amaya Express,4.1
19,43.7702124,-79.5005607,Banh Mi Boys,4.2
20,43.7821908,-79.4902766,Dormet Grill Kabob And Shawarma,4.5
21,43.7637029,-79.4884942,Fox & Fiddle,3.8
22,43.785305,-79.477519,Osmow's @ Steeles,4
23,43.7738363,-79.4920724,Tin Tin Congee Chinese Restaurant,3.6
24,43.7686316,-79.4743435,Taj Restaurant,4.6
25,43.7644847,-79.4893248,Falafel Express Restaurant,4.5
26,43.7745157,-79.501351,Berries & Blooms,3.4
27,43.7819922,-79.4907091,La Risata,4.2
28,43.7585909,-79.4662136,Hurry Curry | Indian Restaurant,3.8
29,43.7822044,-79.4904413,Sunnyside Grill Steeles,4.4
30,43.7741445,-79.502378,Falafel Hut,2.8
31,43.7632489,-79.4993066,Masala Cafe Indian And Sri Lankan Food Bar&swings,3.5
32,43.773463,-79.4930953,Aji Sushi Restaurant,3.3
33,43.7699426,-79.5018138,M2GO by Mandarin,4
34,43.7676542,-79.4749394,Genatsvale Georgian Restaurant,4.2
35,43.767194,-79.4719313,Suq Mediterranean Kitchen,4.8
36,43.7742212,-79.5021783,Z-Teca,3.2
37,43.7831172,-79.4710748,GOOD MORNING FRIENDS,4.4
38,43.7739855,-79.502592,Mac's Sushi,2.9
39,43.7739074,-79.5027293,Pita Pit,4.2
40,43.7771731,-79.4934568,Island Garden Restaurant & Bar,0
41,43.7729583,-79.4980845,Tuchner's Pub & Eatery,3.9
42,43.7624193,-79.4902364,McDonald's,3.6
43,43.7737359,-79.5050858,Freshii,2.9
44,43.7729532,-79.5045346,Pizza Pizza,3.6
45,43.7831783,-79.4899175,Royal Jade Restaurant,4.4
46,43.7633703,-79.4992562,Afro Spice,4.3
47,43.7744629,-79.5015288,SAKURA at York Lanes,2.7
48,43.7739012,-79.5026453,Yogen Früz,3
49,43.7763829,-79.5019379,The Absinthe Pub and Coffee Shop,4.3
50,43.7745334,-79.5142963,Pizzaville,2.4
51,43.7695944,-79.5018918,Sushi Q,5
52,43.7700121,-79.5001481,Fat Bastard Burrito Co,3.9
53,43.7727553,-79.5086259,The Orange Snail,3.7
54,43.782037,-79.4713279,Moldova Restaurant,4.1
55,43.7739767,-79.5030463,Wendy's,2.2
56,43.7647998,-79.489899,Pho Lien Hung,3.9
57,43.7584002,-79.4766839,Cafe Saggio,4.6
58,43.7755455,-79.4694099,Amulet Restaurant & Banquet Hall,4.4
59,43.767808,-79.475869,Elite Grande Restaurant,4.3
